Interessado;UF;Regioes;Tipo Interesse;Tipo Operação;Finalidade;Tipo Credor;Credor;Moeda;Valor;N Processo;Status;Data;Analisado
Itu;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;14.131.421,61;17944.100862/2019-01;Deferido;25/03/2019;STN
Itu;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;2.000.000,00;PVL02.000273/2020-96;Deferido (PVL-IF);27/02/2020;Instituição Financeira
Itu;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;20.562.297,96;17944.100967/2020-95;Deferido;16/03/2020;STN
Itu;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;15.000.000,00;17944.101141/2022-13;Deferido;27/04/2022;STN
Itu;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;100.000.000,00;17944.101444/2022-28;Deferido;27/04/2022;STN
Ituaçu;BA;Nordeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;359.800,00;17944.000178/2008-69;Deferido;22/04/2008;STN
Ituberá;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;3.250.000,00;PVL02.000881/2019-67;Deferido (PVL-IF);08/05/2019;Instituição Financeira
Ituberá;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;3.250.000,00;PVL02.001542/2020-31;Deferido (PVL-IF);24/08/2020;Instituição Financeira
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;00000.000000/0057-99;Devolvido;22/06/2010;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;17944.001257/2013-54;Arquivado por decurso de prazo;16/10/2014;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.000.000,00;17944.001260/2013-78;Deferido;17/02/2014;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.001388/2010-99;Deferido;21/03/2011;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.001471/2011-49;Arquivado por decurso de prazo;04/12/2012;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.427.000,00;19405.000034/2004-10;Deferido;15/06/2004;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.122.186,64;19405.000035/2004-56;Deferido;15/06/2004;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.672.000,00;19405.000036/2004-09;Deferido;15/06/2004;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.773.000,00;19405.000037/2004-45;Deferido;15/06/2004;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;19405.000053/2002-76;Deferido;07/08/2002;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;19405.000054/2002-11;Deferido;07/08/2002;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.200.000,00;17944.000130/2016-61;Arquivado por decurso de prazo;07/10/2016;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;3.000.000,00;17944.103241/2017-17;Arquivado por decurso de prazo;02/03/2018;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;3.000.000,00;PVL02.000428/2018-70;Deferido (PVL-IF);20/03/2018;Instituição Financeira
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;22.000.000,00;17944.102980/2019-45;Deferido;27/09/2019;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;22.000.000,00;17944.104099/2019-89;Encaminhado à PGFN com manifestação técnica favorável;19/12/2019;STN
Ituiutaba;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.084.304,44;PVL02.009222/2019-96;Deferido (PVL-IF);23/03/2020;Instituição Financeira
Itumbiara;GO;Centro Oeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;19.500.000,00;17944.001326/2008-62;Deferido;14/01/2009;STN
Itumbiara;GO;Centro Oeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;100.000.000,00;17944.102830/2022-37;Deferido;28/07/2022;STN
Itumirim;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.250.000,00;17944.000835/2013-35;Deferido;10/09/2013;STN
Itumirim;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;PVL02.002391/2017-33;Deferido (PVL-IF);27/03/2018;Instituição Financeira
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;7.895.000,00;17944.000417/2006-19;Deferido;18/04/2006;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.020.000,00;17944.000592/2007-97;Arquivado;03/07/2007;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;6.100.000,00;17944.000687/2013-59;Deferido;09/09/2013;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;352.288,00;17944.000814/2004-29;Deferido;13/04/2005;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;684.000,00;17944.001022/2008-03;Deferido;02/09/2008;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;4.990.000,00;PVL02.001220/2020-92;Deferido (PVL-IF);06/08/2020;Instituição Financeira
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;4.990.000,00;PVL02.000947/2021-33;Deferido (PVL-IF);24/06/2021;Instituição Financeira
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;7.000.000,00;17944.103313/2022-85;Deferido;01/09/2022;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;6.000.000,00;17944.103315/2022-74;Deferido;01/09/2022;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;8.000.000,00;17944.103320/2022-87;Deferido;01/09/2022;STN
Itupeva;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;50.000.000,00;17944.103463/2022-99;Deferido;02/09/2022;STN
Ituporanga;SC;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;598.900,00;00000.000000/0018-66;Devolvido;03/04/2009;STN
Ituporanga;SC;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;598.900,00;17944.000574/2008-96;Arquivado;12/03/2009;STN
Ituporanga;SC;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;598.900,00;19406.000298/2009-60;Arquivado;09/11/2010;STN
Ituporanga;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;2.500.000,00;19406.000497/2010-10;Arquivado pela STN;04/10/2017;STN
Ituporanga;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;6.000.000,00;17944.000740/2017-45;Deferido;05/10/2017;STN
Ituporanga;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;20.000.000,00;17944.104048/2021-71;Deferido;19/11/2021;STN
Iturama;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;00000.000000/0066-21;Devolvido;22/03/2011;STN
Iturama;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;00000.000000/0067-12;Devolvido;19/04/2011;STN
Iturama;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.000444/2010-78;Deferido;12/05/2010;STN
Iturama;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.000636/2011-65;Deferido;27/06/2011;STN
Iturama;MG;Sudeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;527.450,00;17944.000770/2008-61;Deferido;12/06/2008;STN
Itutinga;MG;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;425.000,00;17944.000098/2014-51;Deferido;24/03/2014;STN
Itutinga;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;520.000,00;17944.000099/2014-04;Deferido;24/03/2014;STN
Iuiú;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;3.400.000,00;PVL02.002081/2022-86;Deferido (PVL-IF);30/06/2022;Instituição Financeira
Ivaí;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;960.000,00;17944.000470/2012-68;Deferido;10/05/2012;STN
Ivaí;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.100.000,00;19406.000211/2006-10;Deferido;08/06/2006;STN
Ivaí;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.985.000,00;17944.000716/2016-25;Deferido;25/07/2016;STN
Ivaí;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.000.000,00;17944.000685/2017-93;Deferido;25/08/2017;STN
Ivaí;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4.000.000,00;PVL02.001262/2019-90;Deferido (PVL-IF);12/07/2019;Instituição Financeira
Ivaí;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.500.000,00;PVL02.003601/2021-97;Deferido (PVL-IF);29/11/2021;Instituição Financeira
Ivaiporã;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;4.000.000,00;17944.001834/2013-16;Deferido;05/03/2014;STN
Ivaiporã;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;4.000.000,00;17944.000274/2016-17;Deferido;30/03/2016;STN
Ivaiporã;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.600.000,00;17944.103634/2017-12;Deferido;02/03/2018;STN
Ivaiporã;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.000.000,00;PVL02.009020/2019-44;Deferido (PVL-IF);30/04/2020;Instituição Financeira
Ivaiporã;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;6.000.000,00;17944.103231/2021-50;Deferido;22/09/2021;STN
Ivaté;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.000.000,00;17944.001990/2011-15;Deferido;14/11/2012;STN
Ivaté;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;600.000,00;19406.000503/2008-14;Deferido;17/06/2008;STN
Ivaté;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;820.000,00;PVL02.000930/2018-81;Deferido (PVL-IF);29/05/2018;Instituição Financeira
Ivaté;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.030.000,00;PVL02.002468/2019-37;Deferido (PVL-IF);19/03/2020;Instituição Financeira
Ivaté;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;800.000,00;PVL02.001668/2021-97;Deferido (PVL-IF);13/07/2022;Instituição Financeira
Ivatuba;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;550.000,00;17944.000136/2012-12;Deferido;24/05/2012;STN
Ivatuba;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;450.000,00;17944.001584/2013-14;Deferido;29/11/2013;STN
Ivatuba;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;400.000,00;19406.000225/2003-82;Deferido;28/11/2003;STN
Ivatuba;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;470.000,00;19406.000234/2010-01;Deferido;07/06/2010;STN
Ivatuba;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;400.000,00;19406.000285/2006-48;Deferido;20/04/2007;STN
Ivatuba;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;700.000,00;PVL02.000763/2018-78;Deferido (PVL-IF);09/05/2018;Instituição Financeira
Ivinhema;MS;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;690.800,00;17944.000046/2009-18;Arquivado;13/03/2009;STN
Ivinhema;MS;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;731.650,00;17944.000805/2009-42;Arquivado por decurso de prazo;18/06/2012;STN
Ivinhema;MS;Centro Oeste;Município;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;12.360.000,00;17944.103983/2021-11;Encaminhado à PGFN com manifestação técnica favorável;22/08/2022;STN
Ivolândia;GO;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;172.700,00;17944.001114/2008-85;Arquivado;13/05/2008;STN
Ivorá;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;700.000,00;17944.000546/2013-36;Deferido;16/07/2013;STN
Ivorá;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;350.000,00;19406.000066/2010-45;Deferido;11/06/2010;STN
Ivorá;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;284.000,00;19406.000140/2004-85;Deferido;03/05/2004;STN
Ivorá;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;284.000,00;19406.000233/2006-71;Deferido;19/07/2006;STN
Ivorá;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;1.200.000,00;PVL02.003528/2019-39;Deferido (PVL-IF);02/09/2019;Instituição Financeira
Ivoti;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;203.000,00;19406.000284/2009-46;Deferido;25/08/2009;STN
Ivoti;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;1.978.000,00;17944.000841/2015-54;Deferido;27/10/2015;STN
Jaboatão dos Guararapes;PE;Nordeste;Município;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;57.292.926,00;17944.000886/2016-18;Arquivado pela STN;23/01/2018;STN
Jaboatão dos Guararapes;PE;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;120.000.000,00;17944.110065/2018-42;Deferido;21/12/2018;STN
Jaboatão dos Guararapes;PE;Nordeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.051.734,68;PVL02.000925/2020-92;Deferido (PVL-IF);13/09/2021;Instituição Financeira
Jaboatão dos Guararapes;PE;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;96.000.000,00;17944.102960/2021-99;Deferido;28/09/2021;STN
Jaborá;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;300.000,00;19406.000192/2003-71;Deferido;25/11/2003;STN
Jaborandi;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.700.000,00;PVL02.003340/2019-91;Deferido (PVL-IF);05/09/2019;Instituição Financeira
Jaboti;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;470.000,00;19406.000792/2006-81;Deferido;05/02/2007;STN
Jaboti;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;600.000,00;17944.000693/2016-59;Deferido;07/06/2016;STN
Jaboti;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;400.000,00;PVL02.001969/2018-15;Deferido (PVL-IF);28/08/2018;Instituição Financeira
Jaboticaba;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;413.450,00;19406.000603/2008-32;Arquivado;09/09/2008;STN
Jaboticaba;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Regional de Desenvolvimento do Extremo Sul;Real;646.464,00;PVL02.000847/2020-26;Deferido (PVL-IF);20/05/2020;Instituição Financeira
Jaboticabal;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;9.827.501,02;17944.000596/2007-75;Deferido;30/04/2007;STN
Jaboticabal;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;6.727.406,90;17944.000869/2006-09;Deferido;30/11/2006;STN
Jaboticabal;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;2.700.000,00;PVL02.001003/2018-88;Deferido (PVL-IF);13/06/2018;Instituição Financeira
Jaboticabal;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;11.000.000,00;17944.104288/2021-76;Deferido;27/01/2022;STN
Jaboticabal;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;5.000.000,00;PVL02.006041/2022-11;Deferido (PVL-IF);23/06/2022;Instituição Financeira
Jaboticatubas;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;700.000,00;17944.001183/2011-94;Deferido;24/10/2011;STN
Jaboticatubas;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;17944.000281/2016-19;Deferido;18/03/2016;STN
Jaçanã;RN;Nordeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;299.450,00;17944.001189/2008-66;Arquivado;26/08/2008;STN
Jacaraci;BA;Nordeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;540.000,00;17944.001370/2010-97;Arquivado por decurso de prazo;15/01/2013;STN
Jacaraci;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;1.623.774,00;17944.000595/2016-11;Deferido;28/06/2016;STN
Jacareí;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;6.000.000,00;17944.000427/2004-92;Deferido;25/05/2005;STN
Jacareí;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;300.000,00;17944.001021/2008-51;Deferido;05/03/2009;STN
Jacareí;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.002.213,90;PVL02.002689/2018-24;Deferido (PVL-IF);03/05/2019;Instituição Financeira
Jacareí;SP;Sudeste;Município;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;60.000.000,00;17944.109905/2018-24;Encaminhado à PGFN com manifestação técnica favorável;16/08/2019;STN
Jacareí;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;556.035,45;PVL02.002692/2019-29;Arquivado a pedido (PVL-IF);24/05/2022;Instituição Financeira
Jacareí;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;30.000.000,00;17944.102113/2022-13;Deferido;19/06/2022;STN
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;3.800.000,00;17944.000499/2014-10;Deferido;22/04/2014;STN
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;550.000,00;19406.000250/2003-66;Arquivado;04/02/2004;STN
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;446.000,00;19406.000276/2004-95;Deferido;21/06/2004;STN
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.900.000,00;19406.000739/2006-81;Deferido;24/11/2006;STN
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;800.000,00;PVL02.000593/2018-21;Deferido (PVL-IF);03/05/2018;Instituição Financeira
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;3.590.000,00;PVL02.004140/2019-55;Deferido (PVL-IF);16/07/2020;Instituição Financeira
Jacarezinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4.760.000,00;PVL02.001645/2021-82;Deferido (PVL-IF);19/11/2021;Instituição Financeira
Jaciara;MT;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;172.700,00;17944.000083/2009-26;Arquivado;13/03/2009;STN
Jaciara;MT;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.107.850,00;17944.001614/2009-06;Arquivado por decurso de prazo;07/02/2013;STN
Jacinto;MG;Sudeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;620.000,00;17944.000139/2011-67;Deferido;15/02/2011;STN
Jacinto Machado;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.000.000,00;17944.000079/2014-25;Arquivado por decurso de prazo;14/10/2014;STN
Jacinto Machado;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;449.000,00;19406.000015/2004-75;Deferido;11/02/2004;STN
Jacinto Machado;SC;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;532.650,00;19406.000224/2009-23;Deferido;21/05/2010;STN
Jacobina;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;10.000.000,00;17944.000466/2012-08;Deferido;14/05/2012;STN
